venue_id,invoice_id,datetime_created,total
5d2f20530ac3,099d8d1607fe4438b68eac88285c327a,2019-10-17 16:45:31.642,0.48
5d2f20530ac3,12b5d976268047778b66551be8baa811,2019-10-17 16:54:57.605,1.04
985a6c718825,08bc14e6898845cfaa54e28a568c0621,2019-10-17 11:33:31.543,21.04
985a6c718825,67ac1bb314474a5d8e623b26a4fcfaf5,2019-10-17 11:36:04.880,3.97
985a6c718825,b9dca5c938d64991b8aed4c1437507d4,2019-10-17 16:31:45.818,6.59
985a6c718825,5b464bfa461a4c76bde5509e6c70df3b,2019-10-17 12:47:52.845,31.97
008a8b3f1dd5,f5d666bed5a742cd8d213ad2df3671b4,2019-10-17 16:07:13.415,11.93
5d2f20530ac3,3dedf7c042de498b804c018e7a148444,2019-10-17 15:20:07.178,4.95
5d2f20530ac3,073eeaa5d41142c9b6abadbae3e2781b,2019-10-17 15:21:14.470,3.0
5d2f20530ac3,3ceafc43e4f341e69640fec18af270f1,2019-10-17 15:27:15.632,5.12
0a2079ba8f1a,c2be3dd08aec499a86cb208d3554845d,2019-10-17 21:51:05.699,136.66
0a2079ba8f1a,6b7b23833b7e424d8cc7489709233224,2019-10-17 22:02:15.634,166.66
0a2079ba8f1a,018171f498c6494cbe27d628799c0001,2019-10-17 19:53:50.453,158.42
bdd46699750c,a0372a4c86734b32a55cc4725773d3c6,2019-10-17 21:54:24.852,78.07
5d2f20530ac3,8c492f03b8f64316905786b7a72ffbef,2019-10-17 18:39:05.518,1.62
5d2f20530ac3,3665f229db024b35a3678683e068c07c,2019-10-17 18:40:10.789,3.02
bdd46699750c,296a2463c58b4a51b6ed29ee79652fc5,2019-10-17 20:44:21.688,12.94
bdd46699750c,137525d6c7dc4228abd8737e9055709d,2019-10-17 20:44:24.675,46.87
5d2f20530ac3,3cae48629caa4d079bff7c9d0824f933,2019-10-17 17:16:45.191,1.87
5d2f20530ac3,23e79b50baf14046b2a526318a48337f,2019-10-17 17:17:39.028,0.84
691e8b849cf7,fb5e8299e5464ac58d7cee57444e39a5,2019-10-17 12:55:13.982,30.73
5d2f20530ac3,effa7f20d22f4ca8bb8ff6e24b80a341,2019-10-17 17:28:04.453,8.11
691e8b849cf7,ea1f64fbab1c4fcab337b21f17e52a14,2019-10-17 16:32:46.115,12.63
691e8b849cf7,c97e2802e534477b8094a0a70f303323,2019-10-17 16:37:37.069,8.05
691e8b849cf7,75eb3fb06c4a448b868694185a7831f2,2019-10-17 17:19:47.569,9.25
691e8b849cf7,452bd1c222dd4607a7c01e33bfc89bb6,2019-10-17 14:25:04.287,4.27
5d2f20530ac3,234ea506a7384e889800af0834d944a2,2019-10-17 15:52:15.888,1.85
5d2f20530ac3,253c9d9811ba4cd89bc29049ebc3eeeb,2019-10-17 15:04:02.760,1.45
5c785282b045,5f430a635b3c4407bec136a3d2e70c5f,2019-10-17 11:52:27.712,12.77
5d2f20530ac3,67ff9a47d83545af8b890168d52e6e2e,2019-10-17 15:05:07.253,1.34
5c785282b045,6c6b8bcbc3114da2bd19378c14b71496,2019-10-17 11:11:05.255,8.84
5d2f20530ac3,47416cab439f4049b2dc8acc83d58755,2019-10-17 15:08:13.769,3.89
5c785282b045,6d7444dd85874d46a6a294499dea566f,2019-10-17 14:15:01.896,5.84
5c785282b045,02106fd2928f42138c66f975499b040a,2019-10-17 09:38:15.336,3.13
